Actual,Prediction,Up_probability,Confidence
1,1,0.5231338,0.5231338
0,1,0.51784706,0.51784706
0,1,0.5163939,0.5163939
1,1,0.5163939,0.5163939
0,1,0.5163939,0.5163939
0,1,0.5163939,0.5163939
0,1,0.5163939,0.5163939
0,1,0.5163939,0.5163939
0,1,0.5163939,0.5163939
0,1,0.5163939,0.5163939
0,1,0.5231338,0.5231338
0,1,0.51784706,0.51784706
1,1,0.5257788,0.5257788
1,1,0.5231338,0.5231338
1,1,0.5175565,0.5175565
1,1,0.5257788,0.5257788
0,1,0.5257788,0.5257788
0,1,0.5231338,0.5231338
1,1,0.5257788,0.5257788
1,1,0.5257788,0.5257788
1,1,0.5257788,0.5257788
0,1,0.5175565,0.5175565
1,1,0.5175565,0.5175565
1,1,0.5231338,0.5231338
0,1,0.5257788,0.5257788
0,1,0.5175565,0.5175565
0,1,0.5257788,0.5257788
1,1,0.5257788,0.5257788
1,1,0.5312115,0.5312115
1,1,0.5175565,0.5175565
1,1,0.5175565,0.5175565
0,1,0.5257788,0.5257788
1,1,0.5231338,0.5231338
1,1,0.5175565,0.5175565
1,1,0.5434259,0.5434259
1,1,0.5175565,0.5175565
1,1,0.5175565,0.5175565
1,1,0.5257788,0.5257788
1,1,0.5257788,0.5257788
1,1,0.5231338,0.5231338
1,1,0.5257788,0.5257788
1,1,0.5175565,0.5175565
1,1,0.5231338,0.5231338
1,1,0.5257788,0.5257788
1,1,0.5231338,0.5231338
1,1,0.5231338,0.5231338
1,1,0.5257788,0.5257788
1,1,0.5175565,0.5175565
1,1,0.5257788,0.5257788
1,1,0.5175565,0.5175565
1,1,0.5163939,0.5163939
1,1,0.5231338,0.5231338
0,1,0.51784706,0.51784706
1,1,0.5231338,0.5231338
1,1,0.5257788,0.5257788
1,1,0.5231338,0.5231338
1,1,0.5257788,0.5257788
1,1,0.5257788,0.5257788
1,1,0.5257788,0.5257788
1,1,0.5175565,0.5175565
1,1,0.5175565,0.5175565
1,1,0.5163939,0.5163939
1,1,0.51667136,0.51667136
1,1,0.51784706,0.51784706
1,1,0.5231338,0.5231338
0,1,0.5231338,0.5231338
1,1,0.5163939,0.5163939
1,1,0.5231338,0.5231338
1,1,0.5163939,0.5163939
1,1,0.5257788,0.5257788
1,1,0.5163939,0.5163939
1,1,0.5163939,0.5163939
0,1,0.5163939,0.5163939
1,1,0.51784706,0.51784706
0,1,0.5163939,0.5163939
1,1,0.5163939,0.5163939
0,1,0.5231338,0.5231338
1,1,0.5163939,0.5163939
1,1,0.5231338,0.5231338
1,1,0.5163939,0.5163939
1,1,0.5163939,0.5163939
1,1,0.5163939,0.5163939
1,1,0.5231338,0.5231338
0,1,0.51784706,0.51784706
1,1,0.51784706,0.51784706
0,1,0.5231338,0.5231338
0,1,0.5163939,0.5163939
1,1,0.5257788,0.5257788
0,1,0.5163939,0.5163939
